reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,4,6,34,1,47.200551199988695,,47.18685759999789,47.200551199988695,48.200900199997704,48.200900199997704,48.619684300007066,l,0.4136722999974154,None,48.200900199997704,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
11,30,7,5,0,35,0,48.63367109998944,,48.62055039999541,48.63367109998944,49.63362320000306,49.63362320000306,50.98726439999882,l,1.3504523999872617,None,49.63362320000306,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
49,60,89,5,1,36,4,50.99978330000886,,50.98822719999589,50.99978330000886,51.999919599998975,51.999919599998975,53.152684300002875,l,1.1471908999956213,None,51.999919599998975,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
15,35,13,5,2,37,1,53.165953799994895,,53.15371949999826,53.165953799994895,54.16533089999575,54.16533089999575,54.935125499992864,l,0.7614904999791179,None,54.16533089999575,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
67,75,119,5,3,38,5,54.94898000001558,,54.9359892999928,54.94898000001558,55.94922380000935,55.94922380000935,56.90167839999776,l,0.934573000005912,None,55.94922380000935,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
27,50,21,5,4,39,2,56.914918299997225,,56.90338979999069,56.914918299997225,57.91522620001342,57.91522620001342,59.05105129998992,l,1.1267280000029132,None,57.91522620001342,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
40,55,62,5,5,40,3,59.06460519999382,,59.052132700016955,59.06460519999382,60.06457180000143,60.06457180000143,60.68337670000619,l,0.601492399990093,None,60.06457180000143,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
78,80,162,5,6,41,6,60.69773489999352,,60.68424659999437,60.69773489999352,61.69759719999274,61.69759719999274,63.5003616999893,l,1.796147999993991,None,61.69759719999274,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
78,80,162,6,0,42,6,63.51389810000546,,63.50132300000405,63.51389810000546,64.5136649000051,64.5136649000051,64.86697750000167,t,0.34986960000242107,None,64.5136649000051,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
15,35,13,6,1,43,1,64.87997199999518,,64.86782429998857,64.87997199999518,65.88042750000022,65.88042750000022,65.99912150000455,l,0.10580389999086037,None,65.88042750000022,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
11,30,7,6,2,44,0,66.01379570001154,,66.00000010000076,66.01379570001154,67.01323469998897,67.01323469998897,67.19975679999334,l,0.17083590000402182,None,67.01323469998897,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
27,50,21,6,3,45,2,67.21281620001537,,67.20150920000742,67.21281620001537,68.21293889998924,68.21293889998924,69.18269770001643,t,0.9560911000007764,None,68.21293889998924,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
40,55,62,6,4,46,3,69.19581549998838,,69.18385890001082,69.19581549998838,70.19605110000703,70.19605110000703,70.81582270000945,t,0.6017656000040006,None,70.19605110000703,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
49,60,89,6,5,47,4,70.82888509999611,,70.81699859999935,70.82888509999611,71.82905860000756,71.82905860000756,72.63228240000899,t,0.7981945000065025,None,71.82905860000756,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
67,75,119,6,6,48,5,72.64506179999444,,72.6339804000163,72.64506179999444,73.64530730000115,73.64530730000115,75.36400249999133,t,1.714384599996265,None,73.64530730000115,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
15,35,13,7,0,49,1,75.37788559999899,,75.36489490000531,75.37788559999899,76.3780059000128,76.3780059000128,77.29752500000177,t,0.9167462000041269,None,76.3780059000128,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
11,30,7,7,1,50,0,77.3106301999942,,77.29857700000866,77.3106301999942,78.31109860001015,78.31109860001015,78.39703399999416,l,0.07548489997861907,None,78.31109860001015,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
40,55,62,7,2,51,3,78.41065649999655,,78.39854480000213,78.41065649999655,79.4104110999906,79.4104110999906,79.42841439999756,l,0.009075999987544492,None,79.4104110999906,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
49,60,89,7,3,52,4,79.44372670000303,,79.42944700000226,79.44372670000303,80.44381830000202,80.44381830000202,81.69572270000936,l,1.2355415999772958,None,80.44381830000202,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
67,75,119,7,4,53,5,81.7097039000073,,81.69682780001312,81.7097039000073,82.71002769999905,82.71002769999905,83.71125510000275,l,0.9931540999969002,None,82.71002769999905,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
27,50,21,7,5,54,2,83.7261708000151,,83.71229150000727,83.7261708000151,84.72650250000879,84.72650250000879,85.17727400001604,l,0.43498610000824556,None,84.72650250000879,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
78,80,162,7,6,55,6,85.19261950001237,,85.1779993000091,85.19261950001237,86.1925368999946,86.1925368999946,86.64592099998845,t,0.4345128000131808,None,86.1925368999946,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
27,50,21,8,0,56,2,86.65887959999964,,86.64692009999999,86.65887959999964,87.65876029999345,87.65876029999345,87.96107240000856,t,0.285769199981587,None,87.65876029999345,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
