reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,119,2,6,20,5,39.343692499998724,,39.33055179999792,39.343692499998724,40.34354780000285,40.34354780000285,40.34354780000285,40.61164909999934,l,0.26350189998629503,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
67,75,119,3,0,21,5,40.626709500007564,,40.6125131000008,40.626709500007564,41.62693520000903,41.62693520000903,41.62693520000903,43.84583580002072,l,2.205200500000501,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
78,80,162,3,1,22,6,43.8593437000236,,43.8468141000194,43.8593437000236,44.859381800022675,44.859381800022675,44.859381800022675,45.561512100015534,t,0.6848641999822576,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
40,55,62,3,2,23,3,45.57578160002595,,45.56259270000737,45.57578160002595,46.575878600007854,46.575878600007854,46.575878600007854,47.99458540001069,t,1.4086295000161044,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
49,60,89,3,3,24,4,48.00856070002192,,47.99603290000232,48.00856070002192,49.0084010999999,49.0084010999999,49.0084010999999,49.27799020000384,t,0.2597390000009909,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
11,30,7,3,4,25,0,49.2916063000157,,49.27916100001312,49.2916063000157,50.291671800019685,50.291671800019685,50.291671800019685,50.51036610000301,t,0.2015751000144519,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
27,50,21,3,5,26,2,50.52479029999813,,50.51140210000449,50.52479029999813,51.525064700021176,51.525064700021176,51.525064700021176,51.81032040002174,l,0.26973260001977906,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
15,35,13,3,6,27,1,51.82447060002596,,51.8112620000029,51.82447060002596,52.824400600016816,52.824400600016816,52.824400600016816,53.04476400002022,l,0.2035221999976784,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
78,80,162,4,0,28,6,53.057466700003715,,53.045931100001326,53.057466700003715,54.05769159999909,54.05769159999909,54.05769159999909,54.258990000002086,t,0.19304980000015348,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
49,60,89,4,1,29,4,54.27393620001385,,54.259708900004625,54.27393620001385,55.27430700001423,55.27430700001423,55.27430700001423,55.37708500001463,l,0.08628489999682643,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
